tf.at_id target.at_id
AT4G25470 AT1G01550
AT4G25470 AT1G03600
AT4G25470 AT1G03870
AT4G25470 AT1G06680
AT4G25470 AT1G07280
AT4G25470 AT1G09070
AT4G25470 AT1G11260
AT4G25470 AT1G11650
AT4G25470 AT1G12250
AT4G25470 AT1G12440
AT4G25470 AT1G13930
AT4G25470 AT1G15690
AT4G25470 AT1G19000
AT4G25470 AT1G19910
AT4G25470 AT1G19960
AT4G25470 AT1G20440
AT4G25470 AT1G20450
AT4G25470 AT1G22850
AT4G25470 AT1G23490
AT4G25470 AT1G25440
AT4G25470 AT1G29390
AT4G25470 AT1G49500
AT4G25470 AT1G52510
AT4G25470 AT1G53170
AT4G25470 AT1G55450
AT4G25470 AT1G56070
AT4G25470 AT1G62380
AT4G25470 AT1G65960
AT4G25470 AT1G66200
AT4G25470 AT1G68520
AT4G25470 AT1G68840
AT4G25470 AT1G71950
AT4G25470 AT1G73030
AT4G25470 AT1G73540
AT4G25470 AT1G73870
AT4G25470 AT1G75100
AT4G25470 AT1G76080
AT4G25470 AT1G76180
AT4G25470 AT1G77710
AT4G25470 AT1G77760
AT4G25470 AT1G78630
AT4G25470 AT2G16600
AT4G25470 AT2G18020
AT4G25470 AT2G20890
AT4G25470 AT2G21290
AT4G25470 AT2G23120
AT4G25470 AT2G26340
AT4G25470 AT2G27830
AT4G25470 AT2G28900
AT4G25470 AT2G34860
AT4G25470 AT2G36060
AT4G25470 AT2G36220
AT4G25470 AT2G36895
AT4G25470 AT2G39000
AT4G25470 AT2G39730
AT4G25470 AT2G40880
AT4G25470 AT2G42220
AT4G25470 AT2G43710
AT4G25470 AT2G43920
AT4G25470 AT2G44490
AT4G25470 AT2G45820
AT4G25470 AT3G03070
AT4G25470 AT3G14310
AT4G25470 AT3G17210
AT4G25470 AT3G18490
AT4G25470 AT3G23490
AT4G25470 AT3G26520
AT4G25470 AT3G27925
AT4G25470 AT3G29240
AT4G25470 AT3G48000
AT4G25470 AT3G48690
AT4G25470 AT3G50685
AT4G25470 AT3G52590
AT4G25470 AT3G52880
AT4G25470 AT3G54900
AT4G25470 AT3G55980
AT4G25470 AT3G57450
AT4G25470 AT3G59940
AT4G25470 AT3G61060
AT4G25470 AT3G61200
AT4G25470 AT3G61260
AT4G25470 AT3G63410
AT4G25470 AT4G00430
AT4G25470 AT4G01050
AT4G25470 AT4G09650
AT4G25470 AT4G11570
AT4G25470 AT4G13615
AT4G25470 AT4G13940
AT4G25470 AT4G15530
AT4G25470 AT4G17170
AT4G25470 AT4G17840
AT4G25470 AT4G25080
AT4G25470 AT4G25100
AT4G25470 AT4G27520
AT4G25470 AT4G27960
AT4G25470 AT4G28080
AT4G25470 AT4G29390
AT4G25470 AT4G30950
AT4G25470 AT4G31985
AT4G25470 AT4G34120
AT4G25470 AT4G34700
AT4G25470 AT4G35090
AT4G25470 AT4G36800
AT4G25470 AT4G38970
AT4G25470 AT5G02380
AT4G25470 AT5G04340
AT4G25470 AT5G06290
AT4G25470 AT5G06980
AT4G25470 AT5G11770
AT4G25470 AT5G11840
AT4G25470 AT5G15970
AT4G25470 AT5G16030
AT4G25470 AT5G18130
AT4G25470 AT5G19120
AT4G25470 AT5G20230
AT4G25470 AT5G20720
AT4G25470 AT5G20900
AT4G25470 AT5G21020
AT4G25470 AT5G23120
